"","x"
"202",1
"203",1
"204",14
"205",6
"206",15
"207",2
"208",14
"209",1
"210",15
"211",15
"212",1
"213",1
"214",8
"215",6
"216",1
"217",4
"218",15
"219",5
"220",15
"221",7
"222",14
"223",8
"224",10
"225",1
"226",1
"227",3
"228",1
"229",1
"230",12
"231",6
"232",14
"233",8
"234",10
"235",2
"236",14
"237",1
"238",1
"239",8
"240",15
"241",1
"242",14
"243",3
"244",14
"245",1
"246",5
"247",14
"248",14
"249",1
"250",1
"251",7
"252",1
"253",1
"254",14
"255",15
"256",1
"257",4
"258",1
"259",8
"260",8
"261",14
"262",10
"263",14
"264",4
"265",15
"266",1
"267",8
"268",8
"269",8
"270",15
"271",10
"272",1
"273",8
"274",1
"275",1
"276",1
"277",10
"278",15
"279",10
"280",8
"281",8
"282",8
"283",10
"284",14
"285",13
"286",5
"287",8
"288",14
"289",8
"290",1
"291",1
"292",1
"293",5
"294",1
"295",15
"296",15
"297",15
"298",14
"299",5
"300",15
"301",1
"302",12
"303",10
"304",15
"305",8
"306",14
"307",1
"308",14
"309",14
"310",1
"311",4
"312",1
"313",2
"314",15
"315",1
"316",12
"317",1
"318",14
"319",10
"320",15
"321",7
"322",14
"323",15
"324",8
"325",8
"326",1
"327",1
"328",1
"329",1
"330",10
"331",14
"332",3
"333",1
"334",8
"335",12
"336",1
"337",14
"338",1
"339",8
"340",1
"341",15
"342",10
"343",15
"344",8
"345",1
"346",14
"347",8
"348",1
"349",4
"350",1
"351",7
"352",15
"353",10
"354",1
"355",12
"356",1
"357",1
"358",15
"359",4
"360",14
"361",10
"362",8
"363",4
"364",15
"365",14
"366",14
"367",14
"368",14
"369",14
"370",1
"371",5
"372",8
"373",13
"374",6
"375",1
"376",14
"377",8
"378",4
"379",10
"380",1
"381",15
"382",6
"383",1
"384",8
"385",14
"386",1
"387",2
"388",5
"389",10
"390",15
"391",15
"392",15
"393",12
"394",8
"395",1
"396",8
"397",10
"398",8
"399",15
"400",1
"401",9
"402",14
"403",1
"404",8
"405",10
"406",10
"407",1
"408",8
"409",13
"410",1
"411",3
"412",3
"413",4
"414",1
"415",1
"416",3
"417",14
"418",14
"419",14
"420",15
"421",5
"422",15
"423",1
"424",8
"425",15
"426",4
"427",8
"428",3
"429",14
"430",15
"431",1
"432",14
"433",14
"434",1
"435",8
"436",1
"437",8
"438",4
"439",5
"440",8
"441",1
"442",1
"443",1
"444",8
"445",1
"446",1
"447",1
"448",10
"449",14
"450",4
"451",3
"452",1
"453",5
"454",15
"455",1
"456",15
"457",1
"458",9
"459",1
"460",4
"461",8
"462",14
"463",14
"464",14
"465",10
"466",2
"467",14
"468",14
"469",6
"470",1
"471",1
"472",1
"473",13
"474",14
"475",14
"476",1
"477",10
"478",1
"479",15
"480",1
"481",1
"482",14
"483",1
"484",1
"485",3
"486",15
"487",6
"488",14
"489",2
"490",15
"491",1
"492",8
"493",1
"494",1
"495",1
"496",10
"497",1
"498",4
"499",3
"500",10
"501",14
"502",10
"503",12
"504",12
"505",12
"506",4
"507",14
"508",14
"509",8
"510",8
"511",1
"512",14
"513",15
"514",8
"515",1
"516",1
"517",14
"518",3
"519",8
"520",14
"521",15
"522",14
"523",15
"524",1
"525",6
"526",8
"527",1
"528",1
"529",5
"530",1
"531",1
"532",1
"533",15
"534",14
"535",14
"536",8
"537",1
"538",1
"539",1
"540",10
"541",1
"542",1
"543",1
"544",10
"545",8
"546",1
"547",1
"548",4
"549",10
"550",14
"551",2
"552",15
"553",3
"554",1
"555",12
"556",8
"557",1
"558",14
"559",1
"560",7
"561",14
"562",1
"563",10
"564",10
"565",8
"566",15
"567",1
"568",12
"569",1
"570",14
"571",5
"572",10
"573",1
"574",8
"575",1
"576",1
"577",8
"578",14
"579",1
"580",1
"581",3
"582",5
"583",12
"584",8
"585",8
"586",4
"587",8
"588",15
"589",8
"590",10
"591",14
"592",1
"593",1
"594",1
"595",4
"596",10
"597",6
"598",1
"599",10
"600",8
"601",15
"602",13
"603",4
"604",8
"605",15
"606",8
"607",15
"608",10
"609",15
"610",1
"611",10
"612",10
"613",12
"614",1
"615",1
"616",8
"617",10
"618",1
"619",13
"620",8
"621",1
"622",13
"623",8
"624",14
"625",8
"626",10
"627",1
"628",1
"629",10
"630",8
"631",8
"632",10
"633",1
"634",6
"635",10
"636",14
"637",1
"638",6
"639",2
"640",13
"641",10
"642",14
"643",15
"644",10
"645",8
"646",8
"647",1
"648",8
"649",2
"650",10
"651",1
"652",5
"653",1
"654",15
"655",12
"656",14
"657",10
"658",8
"659",4
"660",1
"661",10
"662",1
"663",10
"664",2
"665",14
"666",8
"667",8
"668",8
"669",8
"670",10
"671",15
"672",8
"673",3
"674",14
"675",1
"676",14
"677",8
"678",8
"679",1
"680",8
"681",10
"682",14
"683",10
"684",10
"685",1
"686",1
"687",1
"688",1
"689",14
"690",6
"691",1
"692",15
"693",1
"694",15
"695",5
"696",15
"697",1
"698",1
"699",8
"700",1
"701",1
"702",13
"703",8
"704",1
"705",10
"706",1
"707",1
"708",14
"709",8
"710",5
"711",8
"712",1
"713",1
"714",14
"715",8
"716",15
"717",15
"718",13
"719",8
"720",12
"721",12
"722",15
"723",1
"724",13
"725",4
"726",1
"727",15
"728",15
"729",6
"730",6
"731",3
"732",4
"733",6
"734",15
"735",14
"736",15
"737",8
"738",14
"739",8
"740",5
"741",10
"742",10
"743",1
"744",8
"745",10
"746",2
"747",12
"748",6
"749",4
"750",8
"751",1
"752",2
"753",15
"754",10
"755",4
"756",1
"757",4
"758",1
"759",14
"760",5
"761",9
"762",10
"763",1
"764",1
"765",8
"766",15
"767",14
"768",1
"769",14
"770",4
"771",10
"772",10
"773",15
"774",15
"775",14
"776",3
"777",7
"778",1
"779",1
"780",10
"781",15
"782",10
"783",15
"784",4
"785",1
"786",8
"787",8
"788",14
"789",1
"790",1
"791",8
"792",10
"793",15
"794",3
"795",15
"796",1
"797",1
"798",1
"799",14
"800",1
"801",8
"802",8
"803",4
"804",6
"805",1
"806",6
"807",15
"808",15
"809",13
"810",12
"811",1
"812",12
"813",10
"814",15
"815",4
"816",1
"817",14
"818",1
"819",1
"820",12
"821",1
"822",14
"823",5
"824",8
"825",4
"826",12
"827",8
"828",1
"829",10
"830",14
"831",8
"832",8
"833",10
"834",1
"835",15
"836",15
"837",15
"838",14
"839",1
"840",1
"841",6
"842",15
"843",10
"844",3
"845",10
"846",1
"847",8
"848",1
"849",15
"850",1
"851",1
"852",13
"853",15
"854",14
"855",15
"856",7
"857",6
"858",10
"859",10
"860",4
"861",4
"862",6
"863",1
"864",15
"865",14
"866",10
"867",1
"868",6
"869",1
"870",1
"871",10
"872",10
"873",1
"874",14
"875",6
"876",1
"877",1
"878",1
"879",1
"880",10
"881",1
"882",2
"883",5
"884",14
"885",14
"886",10
"887",10
"888",1
"889",10
"890",3
"891",1
"892",1
"893",2
"894",8
"895",1
"896",8
"897",1
"898",1
"899",9
"900",1
"901",3
"902",1
"903",6
"904",10
"905",1
"906",1
"907",4
"908",8
"909",8
"910",7
"911",9
"912",1
"913",14
"914",8
"915",13
"916",1
"917",4
"918",15
"919",8
"920",1
"921",15
"922",4
"923",13
"924",1
"925",8
"926",4
"927",6
"928",1
"929",14
"930",10
"931",1
"932",10
"933",5
"934",4
"935",1
"936",14
"937",3
"938",8
"939",1
"940",10
"941",10
"942",8
"943",14
"944",8
"945",1
"946",14
"947",1
"948",1
"949",1
"950",8
"951",15
"952",6
"953",1
"954",1
"955",1
"956",15
"957",4
"958",4
"959",8
"960",4
"961",1
"962",8
"963",10
"964",8
"965",14
"966",1
"967",13
"968",9
"969",15
"970",14
"971",15
"972",1
"973",15
"974",3
"975",8
"976",5
"977",8
"978",13
"979",1
"980",8
"981",10
"982",8
"983",1
"984",1
"985",1
"986",10
"987",1
"988",15
"989",15
"990",10
"991",14
"992",15
"993",8
"994",5
"995",2
"996",14
"997",8
"998",10
"999",1
"1000",10
"1001",9
"1002",8
"1003",1
"1004",10
"1005",1
"1006",14
"1007",1
"1008",8
"1009",1
"1010",6
"1011",8
"1012",12
"1013",10
"1014",15
"1015",8
"1016",14
"1017",10
"1018",4
"1019",10
"1020",1
"1021",1
"1022",8
"1023",8
"1024",8
"1025",1
"1026",6
"1027",10
"1028",8
"1029",1
"1030",3
"1031",14
"1032",15
"1033",8
"1034",10
"1035",10
"1036",4
"1037",5
"1038",8
"1039",1
"1040",6
"1041",10
"1042",4
"1043",12
"1044",14
"1045",10
"1046",8
"1047",5
"1048",4
"1049",15
"1050",1
"1051",4
"1052",14
"1053",1
"1054",8
"1055",14
"1056",10
"1057",1
"1058",15
"1059",1
"1060",12
"1061",12
"1062",1
"1063",2
"1064",1
"1065",9
"1066",1
"1067",4
"1068",10
"1069",8
"1070",10
"1071",15
"1072",14
"1073",10
"1074",6
"1075",15
"1076",1
"1077",13
"1078",1
"1079",5
"1080",14
"1081",1
"1082",10
"1083",10
"1084",14
"1085",10
"1086",15
"1087",10
"1088",10
"1089",1
"1090",15
"1091",10
"1092",2
"1093",1
"1094",14
"1095",8
"1096",14
"1097",1
"1098",10
"1099",12
"1100",1
"1101",14
"1102",10
"1103",1
"1104",3
"1105",1
"1106",1
"1107",6
"1108",1
"1109",12
"1110",15
"1111",14
"1112",1
"1113",8
"1114",1
"1115",15
"1116",15
"1117",10
"1118",8
"1119",5
"1120",4
"1121",3
"1122",15
"1123",1
"1124",1
"1125",1
"1126",10
"1127",1
"1128",5
"1129",8
"1130",1
"1131",1
"1132",14
"1133",10
"1134",1
"1135",10
"1136",15
"1137",15
"1138",10
"1139",8
"1140",13
"1141",1
"1142",15
"1143",2
"1144",1
"1145",1
"1146",1
"1147",14
"1148",1
"1149",10
"1150",1
"1151",4
"1152",15
"1153",14
"1154",15
"1155",15
"1156",1
"1157",1
"1158",1
"1159",1
"1160",14
"1161",1
"1162",1
"1163",8
"1164",10
"1165",14
"1166",1
"1167",1
"1168",9
"1169",1
"1170",15
"1171",1
"1172",4
"1173",14
"1174",1
"1175",4
"1176",2
"1177",1
"1178",12
"1179",7
"1180",7
"1181",12
"1182",10
"1183",8
"1184",6
"1185",4
"1186",10
"1187",15
"1188",8
"1189",6
"1190",8
"1191",1
"1192",1
"1193",1
"1194",8
"1195",14
"1196",5
"1197",15
"1198",15
"1199",6
"1200",5
"1201",15
"1202",1
"1203",10
"1204",15
"1205",8
"1206",14
"1207",10
"1208",13
"1209",14
"1210",10
"1211",1
"1212",10
"1213",10
"1214",10
"1215",8
"1216",8
"1217",8
"1218",6
"1219",1
"1220",14
"1221",14
"1222",9
"1223",10
"1224",1
"1225",8
"1226",1
"1227",1
"1228",12
"1229",14
"1230",1
"1231",2
"1232",14
"1233",8
"1234",10
"1235",14
"1236",1
"1237",1
"1238",1
"1239",3
"1240",5
"1241",8
"1242",14
"1243",1
"1244",14
"1245",15
"1246",7
"1247",10
"1248",14
"1249",1
"1250",1
"1251",8
"1252",10
"1253",1
"1254",14
"1255",8
"1256",14
"1257",8
"1258",5
"1259",8
"1260",1
"1261",1
"1262",8
"1263",4
"1264",4
"1265",9
"1266",5
"1267",4
"1268",8
"1269",15
"1270",8
"1271",15
"1272",1
"1273",14
"1274",8
"1275",6
"1276",8
"1277",1
"1278",1
"1279",10
"1280",14
"1281",15
"1282",1
"1283",15
"1284",15
"1285",10
"1286",15
"1287",1
"1288",15
"1289",15
"1290",14
"1291",12
"1292",8
"1293",3
"1294",12
"1295",1
"1296",15
"1297",1
"1298",1
"1299",1
"1300",15
"1301",2
"1302",8
"1303",1
"1304",14
"1305",6
"1306",15
"1307",7
"1308",1
"1309",14
"1310",1
"1311",10
"1312",15
"1313",14
"1314",15
"1315",4
"1316",10
"1317",15
"1318",1
"1319",1
"1320",10
"1321",14
"1322",1
"1323",15
"1324",4
"1325",8
"1326",1
"1327",5
"1328",1
"1329",14
"1330",15
"1331",1
"1332",10
"1333",1
"1334",10
"1335",6
"1336",14
"1337",1
"1338",1
"1339",14
"1340",14
"1341",1
"1342",3
"1343",12
"1344",15
"1345",14
"1346",1
"1347",1
"1348",4
"1349",6
"1350",5
"1351",4
"1352",1
"1353",4
"1354",8
"1355",8
"1356",1
"1357",15
"1358",10
"1359",1
"1360",15
"1361",1
"1362",10
"1363",6
"1364",1
"1365",14
"1366",3
"1367",4
"1368",8
"1369",13
"1370",8
"1371",15
"1372",10
"1373",14
"1374",14
"1375",1
"1376",4
"1377",10
"1378",15
"1379",1
"1380",1
"1381",14
"1382",1
"1383",14
"1384",15
"1385",15
"1386",8
"1387",10
"1388",8
"1389",15
"1390",8
"1391",1
"1392",8
"1393",14
"1394",15
"1395",6
"1396",6
"1397",1
"1398",15
"1399",10
"1400",1
"1401",1
"1402",14
"1403",8
"1404",1
"1405",10
"1406",1
"1407",8
"1408",1
"1409",15
"1410",6
"1411",15
"1412",10
"1413",8
"1414",1
"1415",8
"1416",1
"1417",8
"1418",1
"1419",15
"1420",9
"1421",10
"1422",1
"1423",10
"1424",10
"1425",1
"1426",10
"1427",15
"1428",1
"1429",10
"1430",8
"1431",1
"1432",1
"1433",4
"1434",15
"1435",10
"1436",1
"1437",14
"1438",6
"1439",15
"1440",1
"1441",8
"1442",2
"1443",1
"1444",8
"1445",6
"1446",8
"1447",14
"1448",8
"1449",1
"1450",15
"1451",8
"1452",7
"1453",4
"1454",15
"1455",1
"1456",10
"1457",1
"1458",8
"1459",15
"1460",3
"1461",14
"1462",9
"1463",8
"1464",8
"1465",6
"1466",15
"1467",15
"1468",14
"1469",1
"1470",6
"1471",1
"1472",15
"1473",10
"1474",1
"1475",8
"1476",12
"1477",1
"1478",1
"1479",8
"1480",14
"1481",15
"1482",10
"1483",10
"1484",1
"1485",14
"1486",3
"1487",3
"1488",2
"1489",8
"1490",1
"1491",8
"1492",1
"1493",8
"1494",1
"1495",1
"1496",14
"1497",8
"1498",1
"1499",10
"1500",15
"1501",3
"1502",14
"1503",4
"1504",1
"1505",1
"1506",1
"1507",1
"1508",1
"1509",1
"1510",1
"1511",10
"1512",1
"1513",6
"1514",12
"1515",1
"1516",7
"1517",10
"1518",15
"1519",10
"1520",14
"1521",2
"1522",3
"1523",1
"1524",1
"1525",4
"1526",8
"1527",6
"1528",15
"1529",10
"1530",9
"1531",8
"1532",12
"1533",1
"1534",10
"1535",2
"1536",8
"1537",8
"1538",14
"1539",1
"1540",1
"1541",14
"1542",4
"1543",1
"1544",15
"1545",10
"1546",8
"1547",8
"1548",1
"1549",1
"1550",15
"1551",10
"1552",3
"1553",15
"1554",8
"1555",1
"1556",15
"1557",14
"1558",1
"1559",1
"1560",14
"1561",10
"1562",2
"1563",14
"1564",8
"1565",12
"1566",1
"1567",1
"1568",12
"1569",8
"1570",15
"1571",10
"1572",6
"1573",8
"1574",1
"1575",14
"1576",6
"1577",1
"1578",14
"1579",1
"1580",1
"1581",14
"1582",1
"1583",1
"1584",10
"1585",1
"1586",1
"1587",8
"1588",1
"1589",15
"1590",12
"1591",1
"1592",1
"1593",1
"1594",10
"1595",10
"1596",15
"1597",4
"1598",8
"1599",10
"1600",15
"1601",1
"1602",15
"1603",10
"1604",8
"1605",10
"1606",10
"1607",1
"1608",1
"1609",1
"1610",1
"1611",10
"1612",10
"1613",15
"1614",13
"1615",11
"1616",1
"1617",1
"1618",8
"1619",4
"1620",3
"1621",14
"1622",6
"1623",12
"1624",5
"1625",14
"1626",15
"1627",1
"1628",1
"1629",14
"1630",1
"1631",1
"1632",1
"1633",7
"1634",4
"1635",8
"1636",8
"1637",1
"1638",14
"1639",8
"1640",15
"1641",1
"1642",4
"1643",14
"1644",8
"1645",14
"1646",15
"1647",1
"1648",1
"1649",10
"1650",10
"1651",1
"1652",1
"1653",10
"1654",1
"1655",13
"1656",13
"1657",15
"1658",3
"1659",14
"1660",1
"1661",8
"1662",1
"1663",8
"1664",6
"1665",10
"1666",14
"1667",10
"1668",1
"1669",15
"1670",3
"1671",1
"1672",8
"1673",15
"1674",1
"1675",15
"1676",1
"1677",4
"1678",10
"1679",8
"1680",10
"1681",14
"1682",1
"1683",8
"1684",15
"1685",15
"1686",1
"1687",14
"1688",1
"1689",14
"1690",10
"1691",1
"1692",1
"1693",1
"1694",10
"1695",10
"1696",10
"1697",8
"1698",1
"1699",8
"1700",10
"1701",10
"1702",8
"1703",8
"1704",14
"1705",10
"1706",12
"1707",12
"1708",8
"1709",15
"1710",1
"1711",8
"1712",1
"1713",10
"1714",8
"1715",15
"1716",8
"1717",8
"1718",3
"1719",8
"1720",9
"1721",3
"1722",8
"1723",14
"1724",8
"1725",14
"1726",10
"1727",13
"1728",1
"1729",12
"1730",8
"1731",6
"1732",1
"1733",6
"1734",13
"1735",1
"1736",3
"1737",15
"1738",6
"1739",8
"1740",14
"1741",15
"1742",1
"1743",14
"1744",8
"1745",1
"1746",1
"1747",13
"1748",1
"1749",10
"1750",8
"1751",14
"1752",8
"1753",1
"1754",8
"1755",8
"1756",15
"1757",2
"1758",3
"1759",1
"1760",4
"1761",15
"1762",8
"1763",15
"1764",8
"1765",5
"1766",1
"1767",1
"1768",13
"1769",1
"1770",14
"1771",8
"1772",13
"1773",8
"1774",5
"1775",12
"1776",15
"1777",13
"1778",14
"1779",1
"1780",12
"1781",8
"1782",10
"1783",1
"1784",1
"1785",1
"1786",1
"1787",1
"1788",1
"1789",10
"1790",1
"1791",1
"1792",15
"1793",1
"1794",10
"1795",8
"1796",10
"1797",14
"1798",1
"1799",3
"1800",12
"1801",14
"1802",1
"1803",15
"1804",1
"1805",1
"1806",5
"1807",10
"1808",15
"1809",10
"1810",1
"1811",6
"1812",14
"1813",10
"1814",15
"1815",6
"1816",10
"1817",1
"1818",1
"1819",14
"1820",8
"1821",3
"1822",6
"1823",10
"1824",1
"1825",14
"1826",1
"1827",10
"1828",1
"1829",10
"1830",2
"1831",1
"1832",13
"1833",4
"1834",1
"1835",15
"1836",15
"1837",10
"1838",8
"1839",14
"1840",8
"1841",15
"1842",1
"1843",10
"1844",14
"1845",15
"1846",15
"1847",8
"1848",15
"1849",15
"1850",1
"1851",4
"1852",14
"1853",8
"1854",3
"1855",1
"1856",15
"1857",8
"1858",10
"1859",1
"1860",15
"1861",14
"1862",10
"1863",8
"1864",1
"1865",14
"1866",13
"1867",10
"1868",10
"1869",1
"1870",1
"1871",2
"1872",1
"1873",10
"1874",10
"1875",7
"1876",4
"1877",8
"1878",4
"1879",6
"1880",8
"1881",1
"1882",3
"1883",15
"1884",12
"1885",3
"1886",14
"1887",6
"1888",10
"1889",4
"1890",1
"1891",15
"1892",7
"1893",5
"1894",10
"1895",1
"1896",15
"1897",14
"1898",10
"1899",6
"1900",3
"1901",1
"1902",10
"1903",1
"1904",9
"1905",10
"1906",4
"1907",14
"1908",8
"1909",1
"1910",12
"1911",8
"1912",1
"1913",6
"1914",14
"1915",10
"1916",7
"1917",12
"1918",8
"1919",3
"1920",1
"1921",1
"1922",1
"1923",1
"1924",13
"1925",14
"1926",10
"1927",14
"1928",8
"1929",14
"1930",5
"1931",5
"1932",10
"1933",1
"1934",8
"1935",1
"1936",4
"1937",14
"1938",1
"1939",8
"1940",10
"1941",8
"1942",10
"1943",14
"1944",1
"1945",4
"1946",1
"1947",3
"1948",10
"1949",4
"1950",12
"1951",5
"1952",10
"1953",10
"1954",8
"1955",1
"1956",12
"1957",1
"1958",10
"1959",10
"1960",14
"1961",1
"1962",10
"1963",14
"1964",2
"1965",10
"1966",4
"1967",14
"1968",15
"1969",14
"1970",12
"1971",14
"1972",12
"1973",3
"1974",8
"1975",10
"1976",5
"1977",10
"1978",8
"1979",10
"1980",9
"1981",8
"1982",12
"1983",1
"1984",1
"1985",1
"1986",10
"1987",10
"1988",10
"1989",15
"1990",14
"1991",7
"1992",10
"1993",13
"1994",3
"1995",10
"1996",14
"1997",1
"1998",8
"1999",13
"2000",13
"2001",10
"2002",1
"2003",6
"2004",12
"2005",10
"2006",10
"2007",6
"2008",10
"2009",12
"2010",10
"2011",14
"2012",7
"2013",14
"2014",8
"2015",10
"2016",8
"2017",1
"2018",15
"2019",6
"2020",7
"2021",15
"2022",6
"2023",1
"2024",1
"2025",8
"2026",10
"2027",10
"2028",1
"2029",8
"2030",1
"2031",3
"2032",10
"2033",3
"2034",4
"2035",8
"2036",6
"2037",1
"2038",8
"2039",9
"2040",3
"2041",14
"2042",12
"2043",10
"2044",9
"2045",15
"2046",14
"2047",10
"2048",14
"2049",3
"2050",2
"2051",14
"2052",15
"2053",10
"2054",1
"2055",1
"2056",13
"2057",2
"2058",15
"2059",10
"2060",3
"2061",10
"2062",14
"2063",4
"2064",15
"2065",14
"2066",8
"2067",10
"2068",8
"2069",14
"2070",10
"2071",8
"2072",10
"2073",8
"2074",9
"2075",14
"2076",4
"2077",1
"2078",12
"2079",8
"2080",10
"2081",1
"2082",10
"2083",1
"2084",8
"2085",8
"2086",3
"2087",8
"2088",8
"2089",4
"2090",1
"2091",15
"2092",14
"2093",1
"2094",5
"2095",4
"2096",10
"2097",15
"2098",13
"2099",1
"2100",3
"2101",14
"2102",10
"2103",12
"2104",3
"2105",1
"2106",1
"2107",10
"2108",10
"2109",10
"2110",1
"2111",1
"2112",5
"2113",1
"2114",1
"2115",1
"2116",4
"2117",8
"2118",15
"2119",15
"2120",10
"2121",4
"2122",1
"2123",8
"2124",1
"2125",12
"2126",14
"2127",10
"2128",1
"2129",14
"2130",1
"2131",4
"2132",10
"2133",14
"2134",1
"2135",1
"2136",1
"2137",10
"2138",6
"2139",10
"2140",12
"2141",8
"2142",1
"2143",8
"2144",5
"2145",10
"2146",3
"2147",15
"2148",12
"2149",6
"2150",4
"2151",13
"2152",8
"2153",15
"2154",3
"2155",1
"2156",4
"2157",14
"2158",10
"2159",4
"2160",10
"2161",1
"2162",1
"2163",10
"2164",4
"2165",1
"2166",3
"2167",15
"2168",1
"2169",15
"2170",10
"2171",1
"2172",1
"2173",10
"2174",15
"2175",8
"2176",2
"2177",1
"2178",3
"2179",6
"2180",2
"2181",8
"2182",11
"2183",8
"2184",10
"2185",1
"2186",2
"2187",14
"2188",13
"2189",14
"2190",8
"2191",15
"2192",14
"2193",1
"2194",13
"2195",11
"2196",10
"2197",10
"2198",1
"2199",14
"2200",8
"2201",10
"2202",7
"2203",1
"2204",8
"2205",14
"2206",4
"2207",14
"2208",1
"2209",10
"2210",13
"2211",4
"2212",12
"2213",14
"2214",1
"2215",1
"2216",3
"2217",10
"2218",6
"2219",15
"2220",8
"2221",4
"2222",8
"2223",6
"2224",8
"2225",9
"2226",15
"2227",5
"2228",13
"2229",4
"2230",1
"2231",1
"2232",1
"2233",6
"2234",10
"2235",14
"2236",3
"2237",10
"2238",1
"2239",1
"2240",10
"2241",14
"2242",8
"2243",1
"2244",1
"2245",3
"2246",1
"2247",2
"2248",13
"2249",2
"2250",4
"2251",10
"2252",10
"2253",10
"2254",12
"2255",14
"2256",10
"2257",1
"2258",12
"2259",14
"2260",2
"2261",8
"2262",1
"2263",10
"2264",8
"2265",6
"2266",15
"2267",10
"2268",12
"2269",10
"2270",10
"2271",8
"2272",13
"2273",1
"2274",6
"2275",1
"2276",8
"2277",10
"2278",1
"2279",3
"2280",8
"2281",2
"2282",12
"2283",8
"2284",1
"2285",1
"2286",15
"2287",5
"2288",12
"2289",10
"2290",10
"2291",8
"2292",10
"2293",4
"2294",10
"2295",1
"2296",1
"2297",3
"2298",5
"2299",7
"2300",15
"2301",4
"2302",13
"2303",10
"2304",1
"2305",14
"2306",10
"2307",1
"2308",8
"2309",3
"2310",10
"2311",15
"2312",10
"2313",10
"2314",15
"2315",1
"2316",15
"2317",10
"2318",10
"2319",1
"2320",3
"2321",10
"2322",10
"2323",6
"2324",5
"2325",13
"2326",15
"2327",6
"2328",10
"2329",10
"2330",12
"2331",10
"2332",8
"2333",10
"2334",12
"2335",1
"2336",12
"2337",14
"2338",14
"2339",10
"2340",1
"2341",14
"2342",10
"2343",14
"2344",1
"2345",6
"2346",15
"2347",8
"2348",15
"2349",12
"2350",10
"2351",14
"2352",1
"2353",3
"2354",5
"2355",1
"2356",2
"2357",3
"2358",7
"2359",10
"2360",1
"2361",8
"2362",9
"2363",14
"2364",1
"2365",1
"2366",10
"2367",1
"2368",14
"2369",13
"2370",1
"2371",14
"2372",1
"2373",8
"2374",8
"2375",1
"2376",3
"2377",15
"2378",10
"2379",10
"2380",1
"2381",8
"2382",4
"2383",10
"2384",15
"2385",5
"2386",8
"2387",12
"2388",3
"2389",15
"2390",1
"2391",1
"2392",10
"2393",10
"2394",3
"2395",15
"2396",1
"2397",1
"2398",5
"2399",10
"2400",5
"2401",10
"2402",12
"2403",10
"2404",14
"2405",1
"2406",10
"2407",15
"2408",8
"2409",12
"2410",1
"2411",13
"2412",14
"2413",10
"2414",15
"2415",14
"2416",8
"2417",10
"2418",3
"2419",8
"2420",8
"2421",5
"2422",15
"2423",14
"2424",14
"2425",1
"2426",10
"2427",2
"2428",12
"2429",15
"2430",1
"2431",15
"2432",14
"2433",12
"2434",10
"2435",12
"2436",15
"2437",14
"2438",1
"2439",12
"2440",10
"2441",14
"2442",15
"2443",10
"2444",4
"2445",1
"2446",13
"2447",12
"2448",1
"2449",14
"2450",6
"2451",14
"2452",3
"2453",8
"2454",3
"2455",8
"2456",4
"2457",10
"2458",15
"2459",12
"2460",10
"2461",3
"2462",1
"2463",10
"2464",8
"2465",1
"2466",15
"2467",13
"2468",14
"2469",8
"2470",14
"2471",12
"2472",10
"2473",14
"2474",14
"2475",1
"2476",6
"2477",10
"2478",8
"2479",12
"2480",3
"2481",5
"2482",1
"2483",10
"2484",4
"2485",14
"2486",10
"2487",10
"2488",9
"2489",10
"2490",8
"2491",15
"2492",1
"2493",3
"2494",1
"2495",4
"2496",8
"2497",10
"2498",15
