"","x"
"1",4
"2",6
"3",1
"4",1
"5",1
"6",1
"7",1
"8",3
"9",1
"10",1
"11",8
"12",1
"13",8
"14",1
"15",3
"16",15
"17",1
"18",10
"19",14
"20",8
"21",1
"22",8
"23",14
"24",8
"25",1
"26",15
"27",14
"28",15
"29",1
"30",15
"31",10
"32",14
"33",14
"34",1
"35",14
"36",4
"37",7
"38",15
"39",5
"40",1
"41",3
"42",14
"43",5
"44",10
"45",10
"46",14
"47",13
"48",8
"49",1
"50",1
"51",1
"52",5
"53",1
"54",3
"55",1
"56",5
"57",6
"58",15
"59",1
"60",1
"61",10
"62",10
"63",15
"64",8
"65",10
"66",14
"67",1
"68",1
"69",1
"70",12
"71",10
"72",10
"73",13
"74",10
"75",14
"76",14
"77",14
"78",14
"79",3
"80",4
"81",10
"82",10
"83",15
"84",15
"85",1
"86",15
"87",10
"88",1
"89",6
"90",8
"91",1
"92",1
"93",11
"94",10
"95",1
"96",14
"97",12
"98",14
"99",8
"100",3
"101",14
"102",10
"103",10
"104",8
"105",15
"106",5
"107",1
"108",13
"109",15
"110",14
"111",15
"112",4
"113",12
"114",2
"115",1
"116",1
"117",13
"118",1
"119",14
"120",8
"121",10
"122",3
"123",14
"124",2
"125",10
"126",1
"127",15
"128",1
"129",15
"130",1
"131",14
"132",1
"133",1
"134",4
"135",14
"136",1
"137",1
"138",4
"139",10
"140",1
"141",1
"142",14
"143",15
"144",14
"145",1
"146",1
"147",8
"148",8
"149",15
"150",5
"151",2
"152",15
"153",5
"154",10
"155",1
"156",2
"157",3
"158",5
"159",1
"160",12
"161",6
"162",1
"163",2
"164",3
"165",1
"166",10
"167",15
"168",14
"169",14
"170",14
"171",4
"172",5
"173",8
"174",15
"175",13
"176",1
"177",14
"178",1
"179",4
"180",4
"181",8
"182",1
"183",10
"184",13
"185",2
"186",14
"187",1
"188",4
"189",1
"190",8
"191",6
"192",15
"193",4
"194",2
"195",1
"196",8
"197",14
"198",1
"199",1
"200",8
"201",14
